v1,v2,v3,experiment
48.7,47.5,13.4,1
57.4,50.3,12.9,1
52.7,48.7,12.8,1
52.7,48.4,13.0,1
54.0,49.2,13.0,1
61.4,50.3,12.9,1
51.2,48.4,12.8,1
54.8,47.9,12.7,1
51.4,51.1,14.1,1
55.8,49.8,12.5,1
56.2,47.9,12.6,1
54.1,48.4,12.7,1
56.2,49.1,12.5,1
54.2,47.2,12.6,1
52.3,49.3,13.2,1
53.4,48.6,12.7,1
52.6,48.3,13.3,1
54.3,48.4,12.9,1
55.3,48.2,12.8,1
55.7,49.8,12.9,1
52.4,49.0,12.7,1
56.2,49.8,12.8,1
53.7,49.6,13.0,1
54.6,49.4,12.5,1
54.4,48.7,12.8,1
51.6,48.0,12.7,1
53.9,47.9,13.0,1
52.8,48.8,12.7,1
53.3,49.6,12.5,1
60.1,50.1,12.5,1
50.7,50.4,14.9,1
55.5,48.3,12.5,1
56.0,48.7,12.6,1
51.7,47.5,12.6,1
53.9,48.9,13.4,1
53.0,48.0,12.8,1
50.8,47.7,13.0,1
52.1,46.9,12.7,1
54.5,48.7,12.8,1
52.2,48.5,13.0,1
52.3,48.0,13.1,1
51.9,47.3,13.4,1
51.0,47.3,13.2,1
54.3,47.0,12.3,1
51.2,46.4,13.0,1
57.2,48.8,12.7,1
59.6,51.8,13.0,1
58.2,50.7,13.5,1
51.9,46.1,13.2,1
53.1,46.2,12.8,1
53.2,47.1,13.1,1
51.1,48.5,13.4,1
57.0,48.3,12.7,1
56.1,49.6,13.9,1
57.0,49.0,12.5,1
50.6,46.8,12.6,1
53.6,51.6,13.2,1
54.7,49.9,12.3,1
53.5,50.0,12.2,1
60.9,52.7,12.1,1
52.8,49.7,12.5,1
57.6,50.3,12.4,1
54.8,50.4,12.8,1
56.0,51.1,12.6,1
54.2,50.6,13.0,1
52.6,51.3,13.1,1
55.3,52.5,13.4,1
53.0,51.5,12.9,1
55.2,52.0,12.5,1
53.6,50.7,12.9,1
55.8,50.5,12.3,1
53.5,49.9,12.7,1
54.7,50.2,12.4,1
59.9,52.5,12.4,1
61.8,53.1,12.3,1
57.3,51.6,12.1,1
57.1,50.9,12.6,1
57.0,51.8,12.8,1
56.2,51.6,13.0,1
54.9,51.9,12.7,1
58.4,51.6,12.3,1
57.4,52.4,12.0,1
57.1,52.9,12.3,1
57.0,55.8,12.8,1
58.5,51.3,12.4,1
61.8,51.9,12.4,1
58.8,52.3,12.4,1
58.1,50.9,12.4,1
56.1,51.3,12.3,1
53.9,49.5,12.4,1
52.5,49.2,12.5,1
55.0,50.8,12.8,1
53.3,49.5,12.4,1
54.4,50.8,12.7,1
52.2,47.7,12.9,1
52.2,49.7,13.0,1
52.3,48.2,12.8,1
51.1,48.2,12.7,1
51.6,49.5,13.0,1
52.4,49.3,12.7,1
51.7,48.7,12.6,1
51.3,49.1,13.6,1
53.2,49.1,12.3,1
48.8,49.6,13.3,1
53.9,48.6,12.7,1
58.3,48.6,12.4,1
48.1,49.0,12.8,1
50.2,49.0,13.3,1
56.2,50.0,12.3,1
51.4,47.6,12.8,1
53.8,50.0,12.6,1
50.1,48.6,12.8,1
51.9,48.6,12.3,1
50.7,49.2,12.8,1
57.0,51.2,12.6,1
50.5,48.2,12.7,1
