v1,v2,v3,experiment
0.0496,7.3,0.8487,1
0.0696,7.4,0.8487,1
0.0496,7.3,0.8487,1
0.0396,7.3,0.4487,1
0.0496,7.4,0.8487,1
0.0496,7.3,0.4487,1
0.0396,7.2,0.4487,1
0.0596,7.2,0.5487,1
0.0596,7.3,0.6487,1
0.0496,7.0,0.5487,1
0.0596,6.8,0.7487,1
0.0696,7.1,0.8487,1
0.0396,7.0,0.4487,1
0.0496,6.9,0.5487,1
0.0296,6.9,0.3487,1
0.0396,6.9,0.5487,1
0.0396,6.9,0.4487,1
0.0396,6.8,0.4487,1
0.0596,6.9,0.6487,1
0.0496,6.5,0.5487,1
0.0496,6.4,0.6487,1
0.0396,6.4,0.4487,1
0.0796,6.5,0.8487,1
0.0396,6.3,0.4487,1
0.0596,6.3,0.5487,1
0.0596,6.1,0.6487,1
0.0396,5.9,0.5487,1
0.0396,6.1,0.4487,1
0.0196,6.2,0.3487,1
0.0396,6.2,0.4487,1
0.0596,6.4,0.7487,1
0.0496,6.1,0.5487,1
0.0596,6.2,0.6487,1
0.0396,6.4,0.5487,1
0.0296,6.3,0.5487,1
0.0596,6.3,0.6487,1
0.0496,6.4,0.5487,1
0.0396,6.2,0.4487,1
0.0596,6.4,0.6487,1
0.0496,6.2,0.5487,1
0.0696,6.3,0.8487,1
0.0496,6.1,0.4487,1
0.0496,6.3,0.7487,1
0.0396,5.9,0.4487,1
0.0296,5.4,0.4487,1
0.0696,7.0,0.9487,1
0.0596,7.1,0.5487,1
0.0396,7.0,0.4487,1
0.0396,6.6,0.3487,1
0.0496,6.7,0.4487,1
0.0396,6.6,0.3487,1
0.0796,6.6,1.0487,1
0.0596,6.1,0.6487,1
0.0696,6.6,0.6487,1
0.0696,6.4,0.6487,1
0.0396,6.6,0.3487,1
0.0696,6.2,0.8487,1
0.0296,5.2,0.3487,1
0.0396,6.1,0.3487,1
0.0496,6.1,0.5487,1
0.0196,6.4,0.2487,1
0.0296,6.2,0.3487,1
0.0396,6.4,0.4487,1
0.0296,6.3,0.4487,1
0.0296,7.0,0.3487,1
0.0296,7.1,0.3487,1
0.0296,7.1,0.4487,1
0.0296,7.1,0.3487,1
0.0396,7.0,0.4487,1
0.0396,6.9,0.4487,1
0.0396,6.0,0.5487,1
0.0396,5.8,0.4487,1
0.0396,5.8,0.4487,1
0.0496,6.2,0.5487,1
0.0596,6.0,0.7487,1
0.0496,6.3,0.5487,1
0.0596,6.0,0.7487,1
0.0396,6.6,0.5487,1
0.0696,6.4,0.8487,1
0.0496,6.4,0.5487,1
0.0496,6.2,0.5487,1
0.0396,5.8,0.4487,1
0.0396,6.2,0.4487,1
0.0596,6.5,0.8487,1
0.0596,5.9,0.5487,1
0.0496,6.1,0.5487,1
0.0396,5.7,0.4487,1
0.0396,6.0,0.4487,1
0.0496,5.9,0.4487,1
0.0396,6.1,0.4487,1
0.0496,6.1,0.6487,1
0.0396,6.3,0.6487,1
0.0596,6.2,0.6487,1
0.0496,6.2,0.6487,1
0.0396,7.4,0.4487,1
0.0496,7.4,0.4487,1
0.0396,7.0,0.4487,1
0.0396,7.4,0.5487,1
0.0696,6.7,0.9487,1
0.0496,6.6,0.6487,1
0.0296,6.3,0.4487,1
0.0396,6.4,0.4487,1
0.0396,6.4,0.5487,1
0.0396,6.8,0.6487,1
0.0496,6.5,0.4487,1
0.0696,6.3,0.6487,1
0.0296,6.5,0.4487,1
0.0496,6.4,0.7487,1
0.0496,6.5,0.5487,1
0.0396,6.5,0.4487,1
